Model,RMSE,R^2
Random Forest Budget,185.9512617723083,0.90084835719238
RNN Budget,742.4153571283396,-0.5805038213729858
SVR Budget,605.8056126635954,-0.052369480880178676
LightGBM Budget,311.2606805254809,0.7221885220984923
Random Forest Impressions,451.51714447302055,0.9726360831208117
RNN Impressions,884.8127273609936,0.8949170112609863
SVR Impressions,2621.258600967039,0.07774820626573986
LightGBM Impressions,953.0336640118767,0.8780880565559851
Random Forest Clicks,90.06086853533677,0.7795614006676789
RNN Clicks,119.79888338769064,0.6099494695663452
SVR Clicks,187.93108945043483,0.0401295016890062
LightGBM Clicks,128.73093817490923,0.5496177671321041
Random Forest Media Cost,4.192725406689729,0.9794667467638998
RNN Media Cost,14.852277053266688,0.7423376441001892
SVR Media Cost,27.75192265335896,0.10039663394230902
LightGBM Media Cost,11.74232921751983,0.8389452923538133
